id,user_id,date,flight_number,from,to,departure_time,arrival_time,duration,airline,aircraft,registration,seat_number,seat_type,flight_class,flight_reason,note
7de38690-3b2c-42d2-989e-ef06a1bee53f,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-03-03,KL1972,ae576c29-3f92-464d-a24e-8be699b4a1d9,396b4148-bd30-4b98-963c-4229cb9d4318,06:30:00,08:45:00,02:15:00,ae290bbc-85ad-435a-9b8a-bb0cd7597545,c0c623c4-f23d-4969-b4db-5f5641bb0676,PH-BGC,11D,Aisle,Economy,Business,JTB Europe meeting
42b34377-1a6f-4b40-96fd-b9786a97bbcf,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-03-04,KL1979,396b4148-bd30-4b98-963c-4229cb9d4318,ae576c29-3f92-464d-a24e-8be699b4a1d9,20:55:00,22:55:00,02:00:00,ae290bbc-85ad-435a-9b8a-bb0cd7597545,c0c623c4-f23d-4969-b4db-5f5641bb0676,PH-BXI,10D,Aisle,Economy,Business,JTB Europe meeting
a3b34bb7-71a5-48c4-ad4b-a3134ad40754,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-03-15,TK1036,ae576c29-3f92-464d-a24e-8be699b4a1d9,58068f24-2708-4cef-9166-d794e5d9de49,10:50:00,13:45:00,01:55:00,0f074206-403e-4e4a-96d4-272d03666848,ab1d2055-0e3e-4448-bbe2-1f62965d7e5e,TC-JRK,5D,Aisle,Economy,Leisure,
5a856755-efcb-4a3e-b7a3-d7e2bfa9cce8,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-03-15,TK0050,58068f24-2708-4cef-9166-d794e5d9de49,107437c2-2b62-40c4-bf4a-3fa6cd14e643,17:15:00,11:30:00,11:15:00,0f074206-403e-4e4a-96d4-272d03666848,4af7ed2e-f686-41ec-b0b6-ca7a14a465a8,TC-JJF,31H,Aisle,Economy,Leisure,
99c3f191-7d47-4c8b-84bd-ee4d0fc3eacd,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-03-26,TK0053,107437c2-2b62-40c4-bf4a-3fa6cd14e643,58068f24-2708-4cef-9166-d794e5d9de49,21:40:00,03:30:00,12:50:00,0f074206-403e-4e4a-96d4-272d03666848,a1a02198-0ab1-4b49-aa2f-ebcfde99388e,TC-JNE,30J,Aisle,Economy,Leisure,
c96bf3b0-f67b-401a-9241-eb48b9370e89,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-03-27,TK1035,58068f24-2708-4cef-9166-d794e5d9de49,ae576c29-3f92-464d-a24e-8be699b4a1d9,08:50:00,09:50:00,02:00:00,0f074206-403e-4e4a-96d4-272d03666848,c0c623c4-f23d-4969-b4db-5f5641bb0676,TC-JHF,9D,Aisle,Economy,Leisure,
ed122bfa-21d4-4381-b191-5a5627a5c718,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-11-05,TK1036,ae576c29-3f92-464d-a24e-8be699b4a1d9,58068f24-2708-4cef-9166-d794e5d9de49,09:25:00,12:20:00,01:55:00,0f074206-403e-4e4a-96d4-272d03666848,20ff1ca6-197c-4c5d-acb4-00537b36d88e,TC-JKJ,02A,Window,Business,Leisure,
a3f87ad7-d3fd-46df-8f55-5dd04d357f8c,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-11-05,TK0050,58068f24-2708-4cef-9166-d794e5d9de49,107437c2-2b62-40c4-bf4a-3fa6cd14e643,17:15:00,11:30:00,11:15:00,0f074206-403e-4e4a-96d4-272d03666848,4af7ed2e-f686-41ec-b0b6-ca7a14a465a8,TC-jjm,1K,Window,Business,Leisure,
1c5e3360-06fc-4b93-890d-316eb72f00aa,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-11-13,TK0051,107437c2-2b62-40c4-bf4a-3fa6cd14e643,58068f24-2708-4cef-9166-d794e5d9de49,12:55:00,18:10:00,12:15:00,0f074206-403e-4e4a-96d4-272d03666848,4af7ed2e-f686-41ec-b0b6-ca7a14a465a8,tc-JJK,4j,Aisle,Business,Leisure,
c6682435-453a-49c0-8203-1173beb66d7a,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2014-11-15,TK1037,58068f24-2708-4cef-9166-d794e5d9de49,ae576c29-3f92-464d-a24e-8be699b4a1d9,18:10:00,19:10:00,02:00:00,0f074206-403e-4e4a-96d4-272d03666848,cbb306bf-35ca-4dba-ab30-be29d4fd671b,TC-JUJ,2a,Window,Business,Leisure,
d390ae02-6ea9-44da-a326-e83bc4fd50d7,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-18,LH1339,ae576c29-3f92-464d-a24e-8be699b4a1d9,3f6bd7e4-930f-443f-8849-6a783cf1aede,14:25:00,16:10:00,01:45:00,674729d7-0e8f-45dd-bef1-5d25f8e867d8,cbb306bf-35ca-4dba-ab30-be29d4fd671b,D-AIQT,16C,Aisle,Economy,Business,Okinawa FAM trip
4271c1f8-8419-4471-a17a-1e7cd7449157,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-18,LH716,3f6bd7e4-930f-443f-8849-6a783cf1aede,1f0b9d71-94f9-4760-b72c-d37deb39d4a2,18:00:00,13:05:00,11:05:00,674729d7-0e8f-45dd-bef1-5d25f8e867d8,93b97784-53b4-424c-bbd0-02a9288bd3a3,D-ABYJ,41C,Aisle,Economy,Business,Okinawa FAM trip
88933756-c3e3-4335-b81d-e76671dc59c6,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-21,NH471,1f0b9d71-94f9-4760-b72c-d37deb39d4a2,3aaef833-cd7a-4b43-9bfb-ab8e4b9f362f,11:10:00,14:05:00,02:55:00,c4a41ded-ac97-4362-8b51-c939a04a070f,6c1074b0-a96f-4992-97d7-43aa0dcf2db7,JA707A,14G,Aisle,Economy,Business,Okinawa FAM trip
